From	To	Species	Gene Name
ACO2	100352714	Oryctolagus cuniculus	aconitase 2(ACO2)
ACO2	104512312	Eurypyga helias	aconitase 2(ACO2)
ACO2	107534980	Miniopterus natalensis	aconitase 2(ACO2)
ACO2	102235446	Xiphophorus maculatus	aconitase 2(aco2)
ACO2	108439119	Pygocentrus nattereri	aconitase 2(aco2)
ACO2	106046333	Anser cygnoides domesticus	aconitase 2(ACO2)
ACO2	102275002	Bos mutus	aconitase 2(ACO2)
ACO2	103113871	Erinaceus europaeus	aconitase 2(ACO2)
ACO2	101942297	Chrysemys picta	aconitase 2(ACO2)
ACO2	3646204	Candida albicans SC5314	likely mitochondrial aconitase family protein similar to S. cerevisiae YJL200C(ACO2)
ACO2	100986652	Pan paniscus	aconitase 2(ACO2)
ACO2	104050428	Phalacrocorax carbo	aconitase 2(ACO2)
ACO2	100948257	Otolemur garnettii	aconitase 2(ACO2)
ACO2	105464375	Macaca nemestrina	aconitase 2(ACO2)
ACO2	105888843	Clupea harengus	aconitase 2(aco2)
ACO2	107313127	Coturnix japonica	aconitase 2(ACO2)
ACO2	101103148	Ovis aries	aconitase 2(ACO2)
ACO2	102427882	Myotis lucifugus	aconitase 2(ACO2)
ACO2	104383064	Tauraco erythrolophus	aconitase 2(ACO2)
ACO2	102577821	Solanum tuberosum	1-aminocyclopropane-1-carboxylate oxidase(ACO2)
ACO2	104956181	Notothenia coriiceps	aconitase 2(aco2)
ACO2	707441	Macaca mulatta	aconitase 2(ACO2)
ACO2	100086732	Ornithorhynchus anatinus	aconitase 2(ACO2)
ACO2	104021701	Nipponia nippon	aconitase 2(ACO2)
ACO2	104055537	Cuculus canorus	aconitase 2(ACO2)
ACO2	107155767	Marmota marmota marmota	aconitase 2(Aco2)
ACO2	108290494	Cebus capucinus imitator	aconitase 2(ACO2)
ACO2	102258126	Myotis brandtii	aconitase 2(ACO2)
ACO2	103029821	Astyanax mexicanus	aconitase 2(aco2)
ACO2	105269632	Fopius arisanus	aconitase 2, mitochondrial(Aco2)
ACO2	104076707	Fulmarus glacialis	aconitase 2(ACO2)
ACO2	105572378	Cercocebus atys	aconitase 2(ACO2)
ACO2	107388232	Nothobranchius furzeri	aconitase 2(aco2)
ACO2	108503544	Lepidothrix coronata	aconitase 2(ACO2)
ACO2	104003784	Pan troglodytes	aconitase 2(ACO2)
ACO2	103806409	Acanthisitta chloris	aconitase 2(ACO2)
ACO2	104843142	Haliaeetus leucocephalus	aconitase 2(ACO2)
ACO2	102398316	Bubalus bubalis	aconitase 2(ACO2)
ACO2	103591655	Galeopterus variegatus	aconitase 2(ACO2)
ACO2	104522712	Caprimulgus carolinensis	aconitase 2(ACO2)
ACO2	104500104	Buceros rhinoceros silvestris	aconitase 2(ACO2)
ACO2	101705755	Heterocephalus glaber	aconitase 2(Aco2)
ACO2	8621690	Dictyostelium discoideum AX4	aconitase, mitochondrial(aco2)
ACO2	496933	Xenopus tropicalis	aconitase 2(aco2)
ACO2	104134250	Egretta garzetta	aconitase 2(ACO2)
ACO2	101069495	Takifugu rubripes	aconitase 2(aco2)
ACO2	322670	Danio rerio	aconitase 2, mitochondrial(aco2)
ACO2	102501113	Tupaia chinensis	aconitase 2(ACO2)
ACO2	101794896	Anas platyrhynchos	aconitase 2(ACO2)
ACO2	100444223	Pongo abelii	aconitase 2(ACO2)
ACO2	103764685	Manacus vitellinus	aconitase 2(ACO2)
ACO2	107505586	Rousettus aegyptiacus	aconitase 2(ACO2)
ACO2	101925901	Macaca fascicularis	aconitase 2(ACO2)
ACO2	100546629	Meleagris gallopavo	aconitase 2(ACO2)
ACO2	106537812	Thamnophis sirtalis	aconitase 2(ACO2)
ACO2	103907781	Aptenodytes forsteri	aconitase 2(ACO2)
ACO2	103197735	Orycteropus afer afer	aconitase 2(ACO2)
ACO2	100716169	Cavia porcellus	aconitase 2(Aco2)
ACO2	101619040	Condylura cristata	aconitase 2(ACO2)
ACO2	100227287	Taeniopygia guttata	aconitase 2(ACO2)
ACO2	102980300	Physeter catodon	aconitase 2(ACO2)
ACO2	106901203	Calidris pugnax	aconitase 2(ACO2)
ACO2	105073074	Camelus bactrianus	aconitase 2(ACO2)
ACO2	102758056	Myotis davidii	aconitase 2(ACO2)
ACO2	104137965	Struthio camelus australis	aconitase 2(ACO2)
ACO2	108399628	Manis javanica	aconitase 2(ACO2)
ACO2	100698186	Oreochromis niloticus	aconitase 2(aco2)
ACO2	104981088	Bison bison bison	aconitase 2(ACO2)
ACO2	105858489	Microcebus murinus	aconitase 2(ACO2)
ACO2	107117119	Gekko japonicus	aconitase 2(ACO2)
ACO2	102906616	Peromyscus maniculatus bairdii	aconitase 2(Aco2)
ACO2	103223383	Chlorocebus sabaeus	aconitase 2(ACO2)
ACO2	102862572	Elephantulus edwardii	aconitase 2(ACO2)
ACO2	102313493	Haplochromis burtoni	aconitase 2(aco2)
ACO2	101682178	Mustela putorius furo	aconitase 2(ACO2)
ACO2	4839793	Scheffersomyces stipitis CBS 6054	aconitate hydratase(ACO2)
ACO2	100759203	Cricetulus griseus	aconitase 2(Aco2)
ACO2	103743476	Nannospalax galili	aconitase 2(Aco2)
ACO2	100568244	Anolis carolinensis	aconitase 2(aco2)
ACO2	104322192	Haliaeetus albicilla	aconitase 2(ACO2)
ACO2	107285421	Protobothrops mucrosquamatus	aconitase 2(ACO2)
ACO2	103076808	Lipotes vexillifer	aconitase 2(ACO2)
ACO2	104295522	Charadrius vociferus	aconitase 2(ACO2)
ACO2	106488619	Apteryx australis mantelli	aconitase 2(ACO2)
ACO2	103189232	Callorhinchus milii	aconitase 2(aco2)
ACO2	101840520	Mesocricetus auratus	aconitase 2(Aco2)
ACO2	102370894	Alligator sinensis	aconitase 2(ACO2)
ACO2	101126782	Gorilla gorilla	aconitase 2(ACO2)
ACO2	104329878	Opisthocomus hoazin	aconitase 2(ACO2)
ACO2	103001245	Balaenoptera acutorostrata scammoni	aconitase 2(ACO2)
ACO2	104629683	Balearica regulorum gibbericeps	aconitase 2(ACO2)
ACO2	104035756	Pelecanus crispus	aconitase 2(ACO2)
ACO2	103289062	Eptesicus fuscus	aconitase 2(ACO2)
ACO2	101978372	Ictidomys tridecemlineatus	aconitase 2(Aco2)
ACO2	100256784	Vitis vinifera	aconitase 2, mitochondrial(ACO2)
ACO2	104869282	Fukomys damarensis	aconitase 2(Aco2)
ACO2	102738796	Leptonychotes weddellii	aconitase 2(ACO2)
ACO2	106520686	Austrofundulus limnaeus	aconitase 2(aco2)
ACO2	13401792	Zymoseptoria tritici IPO323	aconitate hydratase(ACO2)
ACO2	106930566	Poecilia mexicana	aconitase 2(aco2)
ACO2	102945765	Chelonia mydas	aconitase 2(ACO2)
ACO2	106856915	Sturnus vulgaris	aconitase 2(ACO2)
ACO2	103618248	Corvus brachyrhynchos	aconitase 2(ACO2)
ACO2	101544000	Sorex araneus	aconitase 2(ACO2)
ACO2	280976	Bos taurus	aconitase 2(ACO2)
ACO2	105538822	Mandrillus leucophaeus	aconitase 2(ACO2)
ACO2	103153419	Poecilia formosa	aconitase 2(aco2)
ACO2	106961587	Poecilia latipinna	aconitase 2(aco2)
ACO2	18869773	Spathaspora passalidarum NRRL Y-27907	aconitate hydratase(ACO2)
ACO2	101923757	Falco peregrinus	aconitase 2(ACO2)
ACO2	100389367	Callithrix jacchus	aconitase 2(ACO2)
ACO2	108236233	Kryptolebias marmoratus	aconitase 2(aco2)
ACO2	842536	Arabidopsis thaliana	ACC oxidase 2(ACO2)
ACO2	102072598	Zonotrichia albicollis	aconitase 2(ACO2)
ACO2	101385175	Odobenus rosmarus divergens	aconitase 2(ACO2)
ACO2	101592372	Octodon degus	aconitase 2(Aco2)
ACO2	102522336	Camelus ferus	aconitase 2(ACO2)
ACO2	105091900	Camelus dromedarius	aconitase 2(ACO2)
ACO2	103772071	Merops nubicus	aconitase 2(ACO2)
ACO2	104577069	Tinamus guttatus	aconitase 2(ACO2)
ACO2	101517574	Ochotona princeps	aconitase 2(ACO2)
ACO2	102087373	Columba livia	aconitase 2(ACO2)
SUB2	810927	Plasmodium falciparum 3D7	subtilisin-like protease 2(SUB2)
SUB2	3644966	Candida albicans SC5314	similar to spliceosomal DExD helicase involved in mRNA nuclear export(SUB2)
SUB2	24531942	Plasmodium reichenowi	subtilisin-like protease 2(SUB2)
SUB2	4838602	Scheffersomyces stipitis CBS 6054	Suppressor of the cold-sensitive snRNP biogenesis mutant brr1-1(SUB2)
SUB2	5719399	Chlamydomonas reinhardtii	secreted serine protease, subtilase-type(SUB2)
SUB2	3645033	Candida albicans SC5314	similar to spliceosomal DExD helicase involved in mRNA nuclear export(SUB2)
SUB2	851475	Saccharomyces cerevisiae S288C	ATP-dependent RNA helicase SUB2(SUB2)
HIS4	3645025	Candida albicans SC5314	Phosphoribosyl-AMP cyclohydrolase(HIS4)
HIS4	3644949	Candida albicans SC5314	Phosphoribosyl-AMP cyclohydrolase(HIS4)
HIS4	2541224	Schizosaccharomyces pombe 972h-	imidazoleglycerol-phosphate synthase (predicted)(his4)
HIS4	8047509	Candida dubliniensis CD36	histidine biosynthesis trifunctional protein [includes: phosphoribosyl-amp cyclohydrolase (ec 3.5.4.19); phosphoribosyl-atp pyrophosphohydrolase (ec 3.6.1.31); histidinol dehydrogenase (ec 1.1.1.23) (hdh)], putative(HIS4)
HIS4	5719247	Chlamydomonas reinhardtii	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase(HIS4)
HIS4	817423	Arabidopsis thaliana	histone H4(HIS4)
HIS4	4850948	Scheffersomyces stipitis CBS 6054	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase) (5-proFAR isomerase)(HIS4)
HIS4	850327	Saccharomyces cerevisiae S288C	trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase(HIS4)
RRP4	1062307	Lactobacillus plantarum WCFS1	two-component system response regulator, LuxR family(rrp4)
RRP4	413485	Apis mellifera	ribosomal RNA processing 4(Rrp4)
RRP4	3645357	Candida albicans SC5314	similar to S. cerevisiae RRP4 (YHR069C) exosome component involved mRNA degradation and nuclear RNA processing(RRP4)
RRP4	856466	Saccharomyces cerevisiae S288C	exosome non-catalytic core subunit RRP4(RRP4)
RRP4	5000079	Ostreococcus lucimarinus CCE9901	RNA-binding protein, possibly exosome complex Ribosomal RNA processing protein(Rrp4)
RRP4	3645390	Candida albicans SC5314	similar to S. cerevisiae RRP4 (YHR069C) exosome component involved mRNA degradation and nuclear RNA processing(RRP4)
RRP4	839521	Arabidopsis thaliana	ribosomal RNA processing 4(RRP4)
RRP4	37731	Drosophila melanogaster	CG3931 gene product from transcript CG3931-RA(Rrp4)
HIS5	854690	Saccharomyces cerevisiae S288C	histidinol-phosphate transaminase(HIS5)
HIS5	3645756	Candida albicans SC5314	histidinol-phosphate aminotransferase(HIS5)
HIS5	8047347	Candida dubliniensis CD36	histidinol-phosphate aminotransferase, putative(HIS5)
HIS5	3645610	Candida albicans SC5314	histidinol-phosphate aminotransferase(HIS5)
HIS5	5721384	Chlamydomonas reinhardtii	histidinol phosphate aminotransferase(HIS5)
HIS5	4839041	Scheffersomyces stipitis CBS 6054	histidinol-phosphate aminotransferase(HIS5)
HIS5	2540675	Schizosaccharomyces pombe 972h-	imidazoleglycerol-phosphate dehydratase His5(his5)
FCY1	856175	Saccharomyces cerevisiae S288C	cytosine deaminase(FCY1)
FCY1	4839675	Scheffersomyces stipitis CBS 6054	cytosine deaminase(FCY1)
PAN6	3647684	Candida albicans SC5314	potential pantothenate synthase fragment similar to N terminus of S. cerevisiae PAN6 (YIL145C) pantothenate synthase; closely related to/overlaps with CaP19.2815/19.10333(PAN6)
PAN6	9525581	Arthroderma benhamiae CBS 112371	pantoate-beta-alanine ligase(pan6)
PAN6	854661	Saccharomyces cerevisiae S288C	pantoate--beta-alanine ligase PAN6(PAN6)
PAN6	3647698	Candida albicans SC5314	potential pantothenate synthase fragment similar to N terminus of S. cerevisiae PAN6 (YIL145C) pantothenate synthase; closely related to/overlaps with CaP19.2815/19.10333(PAN6)
PAN6	3642528	Candida albicans SC5314	potential pantothenate synthase fragment similar to C terminus of S. cerevisiae PAN6 (YIL145C) pantothenate synthase; closely related to CaP19.163/19.7797(PAN6)
PAN6	3642592	Candida albicans SC5314	potential pantothenate synthase fragment similar to C terminus of S. cerevisiae PAN6 (YIL145C) pantothenate synthase; closely related to CaP19.163/19.7797(PAN6)
PAN6	2541618	Schizosaccharomyces pombe 972h-	pantoate-beta-alanine ligase(pan6)
PRI1	854825	Saccharomyces cerevisiae S288C	DNA primase subunit PRI1(PRI1)
PRI1	3636269	Candida albicans SC5314	DNA primase small subunit(PRI1)
PRI1	22575288	Leishmania panamensis	mitochondrial DNA primase, putative(PRI1)
PRI1	3636401	Candida albicans SC5314	DNA primase small subunit(PRI1)
PRI1	5652052	Leishmania major strain Friedlin	putative mitochondrial DNA primase(PRI1)
PRI1	4837106	Scheffersomyces stipitis CBS 6054	p48 polypeptide of DNA primase(PRI1)
PRI1	17360641	Nannochloropsis gaditana CCMP526	DNA primase small subunit(PRI1)
PRI1	5069184	Leishmania infantum JPCM5	putative mitochondrial DNA primase(PRI1)
PRI1	5415724	Leishmania braziliensis MHOM/BR/75/M2904	putative mitochondrial DNA primase(PRI1)
LIP5	3641451	Candida albicans SC5314	C. albicans secretory lipase 5(LIP5)
LIP5	19408738	Trametes versicolor FP-101664 SS1	prepropeptide lignin peroxidase(LiP5)
LIP5	3641356	Candida albicans SC5314	C. albicans secretory lipase 5(LIP5)
LIP5	2541234	Schizosaccharomyces pombe 972h-	mitochondrial lipoic acid synthetase Lip5 (predicted)(lip5)
LIP5	854371	Saccharomyces cerevisiae S288C	putative lipoate synthase(LIP5)
FAS1	2543497	Schizosaccharomyces pombe 972h-	fatty acid synthase beta subunit Fas1(fas1)
FAS1	842858	Arabidopsis thaliana	chromatin assembly factor-1 (FASCIATA1) (FAS1)(FAS1)
FAS1	3641494	Candida albicans SC5314	similar to S. cerevisiae FAS1 (YKL182W) fatty acid synthetase beta subunit(FAS1)
FAS1	5726127	Chlamydomonas reinhardtii	fasciclin-like protein(FAS1)
FAS1	42025	Drosophila melanogaster	Fasciclin 1(Fas1)
FAS1	8048083	Candida dubliniensis CD36	fatty acid synthase subunit beta (ec 2.3.1.86) [includes: 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase (ec 4.2.1.61); enoyl-[acyl-carrier-protein] reductase [nadh] (ec 1.3.1.9); [acyl-carrier-protein] acetyltransferase (ec 2.3.1.38); [acyl-carrier-protein] malonyltransferase (ec 2.3.1.39); s-acyl fatty acid synthase thioesterase (ec 3.1.2.14)](FAS1)
FAS1	9615343	Volvox carteri f. nagariensis	fasciclin-like protein(fas1)
FAS1	3641593	Candida albicans SC5314	similar to S. cerevisiae FAS1 (YKL182W) fatty acid synthetase beta subunit(FAS1)
FAS1	13400887	Zymoseptoria tritici IPO323	fatty acid synthase subunit alpha(FAS1)
FAS1	853653	Saccharomyces cerevisiae S288C	tetrafunctional fatty acid synthase subunit FAS1(FAS1)
FAS1	4840672	Scheffersomyces stipitis CBS 6054	Fatty acid synthase subunit beta Includes: 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase; Enoyl-[acyl-carrier-protein] reductase [NADH]; [Acyl-carrier-protein] acetyltransferase; [Acyl-carrier-protein] malonyltransferase; S-acyl fatty acid synthase thioesterase(FAS1)
FAS2	836584	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(FAS2)
FAS2	19314141	Anthracocystis flocculosa PF-1	fatty acid synthase(fas2)
FAS2	3635223	Candida albicans SC5314	N terminal fragment of fatty acid synthase alpha subunit similar to S. cerevisiae FAS2 (YPL231W) multifunctional enzyme that catalyzes synthesis of long-chain saturated fatty acids(FAS2)
FAS2	855845	Saccharomyces cerevisiae S288C	trifunctional fatty acid synthase subunit FAS2(FAS2)
FAS2	4851712	Scheffersomyces stipitis CBS 6054	Fatty acid synthase subunit alpha Includes: Acyl carrier 3-oxoacyl-[acyl-carrier-protein] reductase (Beta-ketoacyl reductase) 3-oxoacyl-[acyl-carrier-protein] synthase (Beta-ketoacyl synthase)(FAS2)
FAS2	18870327	Spathaspora passalidarum NRRL Y-27907	fatty acid synthase alpha subunit(FAS2)
FAS2	5726128	Chlamydomonas reinhardtii	fasciclin-like protein(FAS2)
FAS2	31364	Drosophila melanogaster	Fasciclin 2(Fas2)
FAS2	3635346	Candida albicans SC5314	N terminal fragment of fatty acid synthase alpha subunit similar to S. cerevisiae FAS2 (YPL231W) multifunctional enzyme that catalyzes synthesis of long-chain saturated fatty acids(FAS2)
FAS2	2543618	Schizosaccharomyces pombe 972h-	fatty acid synthase alpha subunit Lsd1(fas2)
HAM1	1132364	Agrobacterium fabrum str. C58	putative deoxyribonucleotide triphosphate pyrophosphatase(ham1)
HAM1	3647224	Candida albicans SC5314	controls 6-N-hydroxylaminopurine sensitivity(HAM1)
HAM1	3647212	Candida albicans SC5314	controls 6-N-hydroxylaminopurine sensitivity(HAM1)
HAM1	4839424	Scheffersomyces stipitis CBS 6054	inosine triphosphate pyrophosphatase, putative / HAM1 family protein(HAM1)
HAM1	819124	Arabidopsis thaliana	GRAS family transcription factor(HAM1)
HAM1	3719670	Rhodobacter sphaeroides 2.4.1	dITPase(ham1)
HAM1	853532	Saccharomyces cerevisiae S288C	nucleoside triphosphate pyrophosphohydrolase HAM1(HAM1)
HAM1	836582	Arabidopsis thaliana	histone acetyltransferase of the MYST family 1(HAM1)
PFS2	814678	Arabidopsis thaliana	Homeodomain-like superfamily protein(PFS2)
PFS2	3644356	Candida albicans SC5314	polyadenylation factor I subunit(PFS2)
PFS2	855399	Saccharomyces cerevisiae S288C	cleavage polyadenylation factor subunit PFS2(PFS2)
PFS2	2543089	Schizosaccharomyces pombe 972h-	WD repeat protein Pfs2(pfs2)
PFS2	3644415	Candida albicans SC5314	polyadenylation factor I subunit(PFS2)
PFS2	4851082	Scheffersomyces stipitis CBS 6054	polyadenylation factor I subunit 2(PFS2)
GLN1	18871322	Spathaspora passalidarum NRRL Y-27907	hypothetical protein(GLN1)
GLN1	8250471	Micromonas commoda	glutamine synthetase, catalytic domain protein protein(GLN1)
GLN1	4840996	Scheffersomyces stipitis CBS 6054	Glutamine synthetase (Glutamate--ammonia ligase) (GS)(GLN1)
GLN1	542746	Zea mays	glutamine synthetase 1(gln1)
GLN1	3646386	Candida albicans SC5314	likely glutamine synthetase similar to S. cerevisiae GLN1 (YPR035W)(GLN1)
GLN1	3646366	Candida albicans SC5314	likely glutamine synthetase similar to S. cerevisiae GLN1 (YPR035W)(GLN1)
GLN1	5725229	Chlamydomonas reinhardtii	glutamine synthetase(GLN1)
GLN1	856147	Saccharomyces cerevisiae S288C	glutamate--ammonia ligase(GLN1)
GLN1	553885	Lotus japonicus	glutamate synthetase(GLN1)
GLN1	2541752	Schizosaccharomyces pombe 972h-	glutamate-ammonia ligase Gln1(gln1)
GLN1	17250205	Emiliania huxleyi CCMP1516	glutamine synthetase(GLN1)
VMA8	2539581	Schizosaccharomyces pombe 972h-	V-type ATPase V1 subunit D (predicted)(vma8)
VMA8	3642798	Candida albicans SC5314	similar to S. cerevisiae VMA8 (YEL051W) vacuolar ATPase V1 domain subunit D(VMA8)
VMA8	8047619	Candida dubliniensis CD36	vacuolar ATP synthase subunit putative(VMA8)
VMA8	4850857	Scheffersomyces stipitis CBS 6054	vacuolar ATPase V1 domain subunit D(VMA8)
VMA8	3642757	Candida albicans SC5314	similar to S. cerevisiae VMA8 (YEL051W) vacuolar ATPase V1 domain subunit D(VMA8)
VMA8	856659	Saccharomyces cerevisiae S288C	H(+)-transporting V1 sector ATPase subunit D(VMA8)
SGS1	33701	Drosophila melanogaster	Salivary gland secretion 1(Sgs1)
SGS1	855228	Saccharomyces cerevisiae S288C	ATP-dependent DNA helicase SGS1(SGS1)
SGS1	10805018	Sordaria macrospora k-hell	SGS1 protein(sgs1)
SGS1	3641258	Candida albicans SC5314	DNA helicase(SGS1)
SGS1	3641294	Candida albicans SC5314	DNA helicase(SGS1)
SGS1	4840279	Scheffersomyces stipitis CBS 6054	ATP-dependent DNA helicase(SGS1)
DPB4	851699	Saccharomyces cerevisiae S288C	DNA polymerase epsilon noncatalytic subunit(DPB4)
DPB4	3638818	Candida albicans SC5314	protein subunit of DNA pol II(DPB4)
DPB4	2540966	Schizosaccharomyces pombe 972h-	DNA polymerase epsilon subunit Dpb4(dpb4)
DPB4	3638739	Candida albicans SC5314	protein subunit of DNA pol II(DPB4)
PAB1	4840386	Scheffersomyces stipitis CBS 6054	Polyadenylate-binding protein, cytoplasmic and nuclear (Poly(A)-binding protein) (PABP) (ARS consensus binding protein ACBP-67) (Polyadenylate tail-binding protein)(PAB1)
PAB1	2541519	Schizosaccharomyces pombe 972h-	protein phosphatase regulatory subunit Pab1(pab1)
PAB1	857291	Guillardia theta	polyadenylate-binding protein(pab1)
PAB1	10447170	Cryptomonas paramecium	polyadenylate-binding protein(pab1)
PAB1	838217	Arabidopsis thaliana	proteasome subunit PAB1(PAB1)
PAB1	3637079	Candida albicans SC5314	similar to PolyA Binding Protein(PAB1)
PAB1	840313	Arabidopsis thaliana	poly(A) binding protein 1(PAB1)
PAB1	7453333	Thalassiosira pseudonana CCMP1335	poly-a binding protein(pab1)
PAB1	3636891	Candida albicans SC5314	similar to PolyA Binding Protein(PAB1)
PAB1	9594532	Schizophyllum commune H4-8	hypothetical protein(pab1)
PAB1	856912	Saccharomyces cerevisiae S288C	polyadenylate-binding protein(PAB1)
PGK1	102125491	Macaca fascicularis	phosphoglycerate kinase 1(PGK1)
PGK1	102057279	Falco cherrug	phosphoglycerate kinase 1(PGK1)
PGK1	102381075	Alligator sinensis	phosphoglycerate kinase 1(PGK1)
PGK1	103371654	Stegastes partitus	phosphoglycerate kinase 1(pgk1)
PGK1	103774493	Merops nubicus	phosphoglycerate kinase 1(PGK1)
PGK1	104291482	Charadrius vociferus	phosphoglycerate kinase 1(PGK1)
PGK1	3647081	Candida albicans SC5314	3-phosphoglycerate kinase similar to S. cerevisiae PGK1 (YCR012W); gluconeogenesis(PGK1)
PGK1	108523870	Rhinopithecus bieti	phosphoglycerate kinase 1(PGK1)
PGK1	18874635	Spathaspora passalidarum NRRL Y-27907	3-phosphoglycerate kinase(PGK1)
PGK1	102021398	Chinchilla lanigera	phosphoglycerate kinase 1(Pgk1)
PGK1	105095559	Camelus dromedarius	phosphoglycerate kinase 1(PGK1)
PGK1	102819074	Chrysochloris asiatica	phosphoglycerate kinase 1(PGK1)
PGK1	104038057	Pelecanus crispus	phosphoglycerate kinase 1(PGK1)
PGK1	104348849	Leptosomus discolor	phosphoglycerate kinase 1(PGK1)
PGK1	102249052	Myotis brandtii	phosphoglycerate kinase 1(PGK1)
PGK1	104619009	Phaethon lepturus	phosphoglycerate kinase 1(PGK1)
PGK1	104465728	Pterocles gutturalis	phosphoglycerate kinase 1(PGK1)
PGK1	100957681	Otolemur garnettii	phosphoglycerate kinase 1(PGK1)
PGK1	103212356	Orycteropus afer afer	phosphoglycerate kinase 1(PGK1)
PGK1	100689467	Cricetulus griseus	phosphoglycerate kinase 1(Pgk1)
PGK1	619387	Monodelphis domestica	phosphoglycerate kinase 1(PGK1)
PGK1	103896693	Aptenodytes forsteri	phosphoglycerate kinase 1(PGK1)
PGK1	102044370	Geospiza fortis	phosphoglycerate kinase 1(PGK1)
PGK1	706325	Macaca mulatta	phosphoglycerate kinase 1(PGK1)
PGK1	100216440	Ovis aries	phosphoglycerate kinase 1(PGK1)
PGK1	100174172	Pongo abelii	phosphoglycerate kinase 1(PGK1)
PGK1	101015007	Papio anubis	phosphoglycerate kinase 1(PGK1)
PGK1	100049274	Oryzias latipes	phosphoglycerate kinase 1(pgk1)
PGK1	103071243	Lipotes vexillifer	phosphoglycerate kinase 1(PGK1)
PGK1	3647038	Candida albicans SC5314	3-phosphoglycerate kinase similar to S. cerevisiae PGK1 (YCR012W); gluconeogenesis(PGK1)
PGK1	103617917	Corvus brachyrhynchos	phosphoglycerate kinase 1(PGK1)
PGK1	105065505	Camelus bactrianus	phosphoglycerate kinase 1(PGK1)
PGK1	105596147	Cercocebus atys	phosphoglycerate kinase 1(PGK1)
PGK1	101551574	Sorex araneus	phosphoglycerate kinase 1(PGK1)
PGK1	104381909	Tauraco erythrolophus	phosphoglycerate kinase 1(PGK1)
PGK1	9615654	Volvox carteri f. nagariensis	phosphoglycerate kinase(pgk1)
PGK1	104918952	Larimichthys crocea	phosphoglycerate kinase 1(pgk1)
PGK1	102948501	Panthera tigris altaica	phosphoglycerate kinase 1(PGK1)
PGK1	107503843	Rousettus aegyptiacus	phosphoglycerate kinase 1(PGK1)
PGK1	100550807	Meleagris gallopavo	phosphoglycerate kinase 1(PGK1)
PGK1	101812298	Ficedula albicollis	phosphoglycerate kinase 1(PGK1)
PGK1	105826188	Propithecus coquereli	phosphoglycerate kinase 1(PGK1)
PGK1	103542957	Equus przewalskii	phosphoglycerate kinase 1(PGK1)
PGK1	102304753	Haplochromis burtoni	phosphoglycerate kinase 1(pgk1)
PGK1	108296345	Cebus capucinus imitator	phosphoglycerate kinase 1(PGK1)
PGK1	101919035	Falco peregrinus	phosphoglycerate kinase 1(PGK1)
PGK1	103764890	Manacus vitellinus	phosphoglycerate kinase 1(PGK1)
PGK1	100470462	Ailuropoda melanoleuca	phosphoglycerate kinase 1(PGK1)
PGK1	108498641	Lepidothrix coronata	phosphoglycerate kinase 1(PGK1)
PGK1	13398380	Zymoseptoria tritici IPO323	phosphoglycerate kinase(PGK1)
PGK1	24644	Rattus norvegicus	phosphoglycerate kinase 1(Pgk1)
PGK1	107098388	Cyprinodon variegatus	phosphoglycerate kinase 1(pgk1)
PGK1	108238097	Kryptolebias marmoratus	phosphoglycerate kinase 1(pgk1)
PGK1	106544469	Thamnophis sirtalis	phosphoglycerate kinase 1(PGK1)
PGK1	107284626	Protobothrops mucrosquamatus	phosphoglycerate kinase 1(PGK1)
PGK1	104300141	Picoides pubescens	phosphoglycerate kinase 1(PGK1)
PGK1	102196678	Pundamilia nyererei	phosphoglycerate kinase 1(pgk1)
PGK1	20222676	Aureococcus anophagefferens	hypothetical protein(PGK1)
PGK1	105515621	Colobus angolensis palliatus	phosphoglycerate kinase 1(PGK1)
PGK1	100072656	Equus caballus	phosphoglycerate kinase 1(PGK1)
PGK1	100392550	Callithrix jacchus	phosphoglycerate kinase 1(PGK1)
PGK1	100923470	Sarcophilus harrisii	phosphoglycerate kinase 1(PGK1)
PGK1	101377343	Odobenus rosmarus divergens	phosphoglycerate kinase 1(PGK1)
PGK1	507476	Bos taurus	phosphoglycerate kinase 1(PGK1)
PGK1	104058468	Cuculus canorus	phosphoglycerate kinase 1(PGK1)
PGK1	107713220	Sinocyclocheilus rhinocerous	phosphoglycerate kinase 1(pgk1)
PGK1	105011119	Esox lucius	phosphoglycerate kinase 1(pgk1)
PGK1	107203840	Parus major	phosphoglycerate kinase 1(PGK1)
PGK1	106909659	Poecilia mexicana	phosphoglycerate kinase 1(pgk1)
PGK1	102418611	Myotis lucifugus	phosphoglycerate kinase 1(PGK1)
PGK1	101087208	Felis catus	phosphoglycerate kinase 1(PGK1)
PGK1	106038597	Anser cygnoides domesticus	phosphoglycerate kinase 1(PGK1)
PGK1	106846926	Equus asinus	phosphoglycerate kinase 1(PGK1)
PGK1	18655	Mus musculus	phosphoglycerate kinase 1(Pgk1)
PGK1	101276124	Orcinus orca	phosphoglycerate kinase 1(PGK1)
